VUIDNO,PCTCOD,PCTSPT,EDRDAT,DOB,GENDER,LSTNAM,FSTNAM,MIDNAM,BLKNUM,STRPRE,STRNAM,STRTYP,UNITYP,UNITNO,RSCITY,RZIPCD,SUSIND,G22VOTED,G24VOTED,P26VOTED
1001069387,101,C,20220217,19570801,F,Brooks,Jessica,M,900,N,Hillside,ST,,,Austin,78741,,Y,Y,
1049639042,101,B,20080726,20021123,M,Campbell,Carlos,R,8038,,Creekside,AVE,UNIT,337,Cedar Park,78613,,,Y,Y
1003896577,101,A,20220306,19820824,M,Mitchell,Miguel,A,4360,,Meadow,AVE,,,Austin,78751,,,Y,
1073523751,101,C,20240516,19470127,F,Reyes,Ashley,L,8976,S,Escarpment,AVE,,,Austin,78701,,Y,,Y
1002171606,101,A,20131128,19670517,F,Sanders,Barbara,A,3600,N,Elm,CT,STE,330,Round Rock,78681,,Y,,
1059039465,101,C,20121124,19490923,F,Thompson,Michelle,,8200,N,Maple,PL,,,Del Valle,78617,,,Y,Y
1019626440,102,C,20250106,19610623,M,Chen,Steven,,5755,N,Oak,CT,APT,123,Round Rock,78664,,,Y,Y
1075301769,102,B,20090515,19970522,M,Davis,Miguel,A,2332,,Magnolia,ST,STE,203,Leander,78641,,,,
1022122525,102,,20231223,19681113,F,Patel,Isabella,M,8664,,Maple,WAY,,,Austin,78701,,Y,Y,
1005050516,102,A,20100524,19791012,M,Roberts,Jose,Lee,100,,Duval,PL,,,Austin,78702,,Y,,Y
1020797100,102,,20190627,19510813,F,Thomas,Melissa,Ann,4800,,Live Oak,PL,APT,241,Cedar Park,78613,,Y,Y,Y
1002328883,102,A,20231101,19840307,F,Ward,Mary,Lee,1300,E,Elm,LN,,,Round Rock,78665,,,Y,Y
1056055429,102,C,20110301,19971127,F,Williams,Amy,,2300,,Braker,AVE,,,Leander,78641,,Y,Y,
1066923787,103,,20210306,19711217,F,Davis,Susan,Marie,2700,E,Creekside,TRL,,,Del Valle,78617,,Y,Y,
1084520639,103,A,20190704,19560703,F,Rodriguez,Margaret,,5500,,Slaughter,RD,,,Pflugerville,78660,,,,
1008528504,103,,20201027,19990428,M,Scott,James,Ann,2875,,Slaughter,WAY,,,Round Rock,78665,S,,Y,Y
1021339125,103,B,20240219,19950701,F,Taylor,Ashley,,9800,N,Balcones,CT,,,Austin,78723,,,Y,
1072827504,104,C,20120308,19661027,F,Adams,Susan,L,3900,,Hillside,LN,,,Pflugerville,78660,,Y,,
1061741159,104,B,20080714,19930212,F,Cooper,Jessica,E,6100,E,Live Oak,ST,,,Austin,78751,,,,
1086876352,104,C,20120625,19571202,F,Reyes,Maria,R,7961,,Pecan,ST,#,73,Round Rock,78681,,,Y,
1069802413,104,,20150514,19670711,M,Roberts,Joshua,Marie,5600,N,Oak,PL,,,Leander,78641,,Y,,
1050693286,104,C,20170315,19670923,M,Sanchez,Daniel,M,3034,S,Duval,CIR,,,Round Rock,78681,,Y,,Y
1073606464,104,,20111026,19920119,M,Smith,Mark,Lee,1500,,Meadow,PL,UNIT,159,Del Valle,78617,,Y,Y,
1051186809,105,A,20150717,19701028,M,Roberts,Jacob,,626,E,Anderson,DR,STE,310,Round Rock,78665,,Y,Y,Y
1028825202,106,C,20131203,19860520,M,Barnes,William,M,5800,,Live Oak,PL,,,Pflugerville,78660,,,,Y
1018031962,106,B,20201018,20020918,M,Brooks,Carlos,A,778,S,Hillside,DR,APT,237,Round Rock,78664,,Y,Y,
1087800546,106,,20150912,19780617,M,Davis,Eric,,3357,W,Congress,CIR,,,Pflugerville,78660,,Y,Y,Y
1071055185,106,,20240420,19961228,M,Hill,Daniel,L,2657,,Live Oak,ST,,,Austin,78703,,Y,,Y
1028754021,106,A,20171022,19420819,F,Jackson,Elizabeth,Lee,7298,,Balcones,BLVD,,,Pflugerville,78660,,,,Y
1053219975,106,B,20120304,20050425,F,Murphy,Sofia,,7900,S,Oak,ST,STE,389,Round Rock,78664,,Y,,
1089100153,106,,20111011,19451028,F,Price,Amy,Rose,7200,,Riverside,LN,,,Del Valle,78617,,Y,Y,Y
1094619795,106,B,20230227,19450216,F,Young,Susan,M,8200,N,Anderson,LN,,,Leander,78641,,Y,,
1041742725,107,B,20230222,19840615,F,Baker,Melissa,,2100,,Oak,WAY,,,Cedar Park,78613,,,,
1096725322,107,C,20180409,19481226,M,Taylor,David,A,2060,N,Creekside,AVE,,,Leander,78641,,Y,,Y
1073692056,108,,20160423,19571210,F,Gomez,Ashley,Ann,8410,,Pecan,PL,,,Austin,78702,,Y,Y,Y
1085087565,108,A,20170103,19480308,F,Hall,Nancy,Rose,4600,N,Menchaca,TRL,#,233,Leander,78641,,Y,,
1028043743,108,B,20161208,19971225,M,White,Joseph,Ann,1000,E,Hillside,DR,,,Round Rock,78681,,Y,Y,Y
