VUIDNO,PCTCOD,PCTSPT,EDRDAT,GENDER,LSTNAM,FSTNAM,MIDNAM,BLKNUM,STRPRE,STRNAM,STRTYP,UNITYP,UNITNO,RSCITY,RZIPCD,SUSIND,G20VOTED,P22VOTED,G22VOTED,P24VOTED,P24PARTY,G24VOTED,P26VOTED,P26PARTY
1075016156,101,,20161025,M,Brooks,Paul,Grace,4534,,Parmer,WAY,STE,D6,Leander,78645,,Y,Y,,Y,,,Y,Dem
1008378731,101,D,20230710,M,Chen,Samuel,Paul,2319,E,Speedway,AVE,,,Buda,78610,,,,,Y,Dem,Y,,
1080902909,101,B,20211005,F,Peterson,Margaret,Ann,9809,E,McNeil,CIR,,,Pflugerville,78660,,Y,Y,Y,Y,Rep,,Y,Rep
1007107568,101,,20221027,F,Taylor,Margaret,R,6900,,Creekside,ST,,,Pflugerville,78660,,Y,,Y,Y,Lib,Y,,
1058475118,101,B,20240317,F,Torres,Hannah,Marie,7600,N,Barton Springs,PKWY,,,Leander,78645,,Y,,,,,Y,Y,
1012935643,101,C,20211124,M,Young,Aaron,Ray,9000,S,Slaughter,AVE,,,Cedar Park,78613,,,,,,,,Y,
1007823782,102,A,20151209,F,Cox,Priya,A,6407,S,University,TRL,,,Leander,78645,,Y,,Y,Y,,Y,,
1011561080,102,B,20080216,F,Jones,Laura,Rose,3100,,Howard,CIR,,,Buda,78610,,,,,Y,Dem,Y,,
1025903916,102,C,20171010,M,Murphy,Juan,R,6236,N,Parmer,CT,,,Leander,78645,,Y,,Y,Y,Lib,,,
1011678190,102,,20250409,F,Watson,Betty,Rose,9200,,Burnet,ST,,,Leander,78641,,,Y,Y,Y,Rep,Y,Y,Dem
1086394805,102,C,20120203,M,Young,Jose,Rose,8800,N,Cedar,ST,,,Buda,78610,,,,Y,Y,Rep,Y,Y,Rep
1093333875,103,D,20130608,M,Bailey,Mark,L,4500,,Cedar,AVE,,,Buda,78610,S,,,,Y,Dem,Y,Y,Rep
1098477443,103,C,20151212,F,Baker,Amanda,E,8500,S,Burnet,BLVD,,,Pflugerville,78660,,,Y,Y,,,,,
1031774862,103,C,20230903,M,Barnes,Carlos,,5464,S,Elm,WAY,UNIT,A1,Manor,78653,,Y,Y,Y,Y,Dem,,Y,Dem
1044336528,103,C,20190313,M,Bennett,John,E,9700,N,William Cannon,TRL,,,Leander,78645,,Y,Y,Y,Y,Dem,Y,,
1000531957,103,D,20180714,M,Gomez,David,Kay,500,S,Far West,ST,UNIT,4A,Leander,78641,,,Y,Y,Y,Lib,,Y,Dem
1050211475,103,B,20241205,F,Howard,Sofia,Jean,9600,,Ben White,CIR,,,Del Valle,78617,,,,,,,Y,,
1022623505,103,,20181002,F,Price,Kathleen,J,3000,S,Guadalupe,TRL,,,Del Valle,78617,,Y,,Y,Y,Dem,,Y,Rep
1049278036,104,C,20200919,M,Johnson,Eric,L,7900,W,Dessau,CIR,APT,371,Del Valle,78617,,Y,,Y,Y,Rep,,Y,Lib
1016889002,104,A,20140724,M,Miller,Eric,Ann,9100,,Koenig,LN,,,Pflugerville,78660,,,,,,,,Y,Dem
1061844354,104,A,20240905,F,Nguyen,Grace,Jean,446,E,Metric,AVE,,,Pflugerville,78660,,Y,Y,,,,Y,Y,Dem
